"order","family","genus","species","binomial","habitat.mode","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","iucn","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","gr.area.km2","indiv.home.range.km2","dispersal.age.d","log.mass","log.size.bin","qtr.bin"
"Artiodactyla","Bovidae","Bison","bonasus","Bison bonasus","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5e+05,"1","VU",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","9782","8713.62","1068.38","3595.3298",3595.3298,NA,NA,NA,NA,2.1295097265,3,1712,27937.1054599291,15942774.8491329,7.91,NA,7.42,NA,5.69897000433602,5,"(5.5,5.75]"
"Artiodactyla","Bovidae","Bison","latifrons","Bison latifrons","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9e+05,"1","",FALSE,TRUE,FALSE,FALSE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,"Bison latifrons",2.588,3.6,3.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95424250943933,5,"(5.75,6]"
"Artiodactyla","Bovidae","Bison","priscus","Bison priscus","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,711800.2185,"2","",FALSE,TRUE,FALSE,TRUE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,"Bison priscus",0.781,2.588,1.6845,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85235811698242,5,"(5.75,6]"
"Artiodactyla","Bovidae","Bootherium","bombifrons","Bootherium bombifrons","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,423000,"1","",FALSE,TRUE,FALSE,FALSE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,"Bootherium bombifrons",0.3,2.588,1.444,1.4198504565,0,1066,0,9926984.80676148,NA,NA,NA,NA,5.62634036737504,5,"(5.5,5.75]"
"Artiodactyla","Bovidae","Bos","frontalis","Bos frontalis","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8e+05,"1","",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2294331.63,NA,NA,5.90308998699194,5,"(5.75,6]"
"Artiodactyla","Bovidae","Bos","grunniens","Bos grunniens","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,333000,"1","",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523540.07,NA,NA,5.52244423350632,5,"(5.5,5.75]"
"Artiodactyla","Bovidae","Bos","javanicus","Bos javanicus","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7e+05,"1","EN",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","9764.9666667","8852.4666667","912.5","3479.7153333",3285,NA,NA,NA,NA,1.245360186,93,472,866050.269257802,4395437.92569551,NA,1687920.66,NA,NA,5.84509804001426,5,"(5.75,6]"
"Artiodactyla","Bovidae","Bos","sauveli","Bos sauveli","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8e+05,"1","CR",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","9855","8941","914","3506.89",3285,NA,NA,NA,NA,2.1029556275,0,10,0,93123.6848664304,NA,115557.18,NA,NA,5.90308998699194,5,"(5.75,6]"
"Artiodactyla","Bovidae","Boselaphus","tragocamelus","Boselaphus tragocamelus","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,169000,"1","LC",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","7920.5","7008","912.5","2944.82",2944.82,NA,NA,NA,NA,7.657424649,294,324,2737836.33507305,3017207.38967234,NA,2192564.81,NA,NA,5.22788670461367,5,"(5,5.25]"
"Artiodactyla","Bovidae","Bubalus","bubalis","Bubalus bubalis","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,37500,"1","",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,"Bubalus bubalis",0.126,0.781,0.4535,NA,NA,NA,NA,NA,3.63,978657.33,NA,912.49,4.57403126772772,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Bubalus","mephistopheles","Bubalus mephistopheles","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"1","",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artiodactyla","Bovidae","Budorcas","taxicolor","Budorcas taxicolor","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,302000,"1","VU",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","7428.9666667","6698.9666667","730","2672.7003333",2920,"Budorcas taxicolor",0.0117,0.126,0.06885,2.292215384,91,91,847425.532284516,847425.532284516,NA,402044.43,NA,NA,5.48000694295715,5,"(5.25,5.5]"
"Artiodactyla","Bovidae","Capra","caucasica","Capra caucasica","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55000,"1","EN",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","7701.5","6850.5","851","2837.645",2555,NA,NA,NA,NA,0.27572401895,8,8,74498.9478931443,74498.9478931443,NA,32781.87,NA,NA,4.74036268949424,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Capra","falconeri","Capra falconeri","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,41000,"1","NT",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","5730.5","5000.5","730","2180.145",2555,NA,NA,NA,NA,0.76878137635,39,57,363182.370979078,530805.003738653,NA,155075.85,NA,NA,4.61278385671974,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Capra","hircus","Capra hircus","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,75000,"1",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia",NA,NA,NA,NA,NA,"Capra hircus",0.0117,2.588,1.29985,NA,NA,NA,NA,NA,98.3,NA,47.24,NA,4.8750612633917,4,"(4.75,5]"
"Artiodactyla","Bovidae","Capra","ibex","Capra ibex","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,69333.333,"1","LC",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","7969.1666667","7056.6666667","912.5","2958.9333333",2958.933333,"Capra ibex",0.126,2.588,1.357,0.84484082545,24,30,223496.843679433,279371.054599291,NA,145098.13,NA,NA,4.84094207815514,4,"(4.75,5]"
"Artiodactyla","Bovidae","Capra","nubiana","Capra nubiana","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,62624.8405,"2","VU",TRUE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","6436.1666667","5706.1666667","730","2384.7883333",2920,NA,NA,NA,NA,0.64010700005,95,103,884675.006231088,959173.954124233,NA,177986.79,NA,NA,4.79674663276659,4,"(4.75,5]"
"Artiodactyla","Bovidae","Capra","pyrenaica","Capra pyrenaica","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50000,"1","LC",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","5840","4744","1096","2471.76",2471.76,NA,NA,NA,NA,0.84484082545,40,77,372494.739465721,717052.373471514,0.64,110472.5,0.51,NA,4.69897000433602,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Capra","sibirica","Capra sibirica","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,130000,"1","LC",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","8127.3333333","7397.3333333","730","2875.2266667",2875.226667,NA,NA,NA,NA,2.306985,333,333,3101018.70605213,3101018.70605213,NA,2802214.24,NA,NA,5.11394335230684,5,"(5,5.25]"
