"genus","cont","phyl.age","fossil.age"
"Maxomys",1,15.92235636325,NA
"Mazama",2,9.25272669981499,2.588
"Megadendromus",1,4.6961601345,NA
"Megaderma",1,26.20004005845,20
"Megadontomys",1,8.355516997475,NA
"Megaerops",1,7.53417572879999,NA
"Megalibgwilia",1,24.23784386,2.588
"Megaloceros",1,7.3663263525,3.2
"Megaloglossus",1,3.5826950665,NA
"Megalonyx",1,9.932582448,10.3
"Megalotragus",1,0.8110127837,5.332
"Megasorex",1,9.4222326465,NA
"Megatherium",1,3.79916162449997,17.5
"Melanomys",1,0.926142023009967,NA
"Meles",1,5.55119498827492,5.332
"Mellivora",2,22.073841895,23.03
"Melogale",1,19.26018440366,NA
"Melomys",1,5.577432227015,0.012
"Melonycteris",1,9.95313651134998,NA
"Melursus",1,3.412414678,NA
"Menetes",1,5.157835154,NA
"Mephitis",1,5.40621004376498,3.5
"Meriones",2,6.81552355685,5.332
"Mesechinus",1,3.03860477904998,NA
"Mesembriomys",1,3.01785874298992,NA
"Mesocricetus",1,10.79284479846,7.246
"Mesomys",1,5.18164662697496,0.012
"Mesophylla",2,2.446534663,NA
"Metachirus",1,18.0137003,0.012
"Micaelamys",1,NA,NA
"Micoureus",2,NA,16.3
"Microakodontomys",1,3.778294484,NA
"Microcavia",1,16.254448512,5.332
"Microdillus",1,10.37229736,NA
"Microdipodops",1,15.48000041335,3
"Micromys",1,14.099500845,8.7
"Micronycteris",2,28.96319423465,0.126
"Micropotamogale",1,20.011172679,NA
"Micropteropus",1,1.44919070252499,NA
"Microryzomys",1,1.15600228988997,NA
"Microsciurus",1,2.97177006460001,0.012
"Microtus",2,7.35334528690001,5.332
"Millardia",1,7.46028537593997,NA
"Mimetillus",1,8.9642626635,NA
"Mimon",2,5.00239831884995,NA
"Miniopterus",3,46.0000237089,13.65
"Miopithecus",1,6.32797077553001,NA
"Miracinonyx",1,1.6381248375,4.9
"Mirounga",1,7.36337138955989,20.43
"Mixotoxodon",1,27.99999614,2.588
"Mogera",1,7.61929456204995,0.126
"Molossops",1,18.12243021385,0.012
"Molossus",2,19.81457726237,0.012
"Monachus",2,2.316534788,2.588
"Monodelphis",1,19.646695576,5.332
"Mops",2,9.97802670672002,0.012
"Mormoops",2,30.12504574135,0.126
"Mormopterus",1,41.24681667505,21
"Moschiola",1,36.85852947956,NA
"Moschus",1,19.69002733931,8.7
"Mungos",1,7.54290808985002,5.332
"Muntiacus",1,9.25219435112495,8.7
"Muriculus",1,9.0184800855,NA
"Murina",1,14.03389501076,5.332
"Mus",2,9.01847623053999,8.7
"Muscardinus",1,21.192650575,15.97
"Musonycteris",1,6.688708533,NA
"Mustela",3,16.5408410591049,20.43
"Mylodon",1,1.528979867,2.588
"Mylohyus",1,1.95936016,7.9
"Mylomys",1,3.13946827498494,NA
"Myocastor",1,15.82999782,9
"Myodes",2,12.37208816497,5.332
"Myomimus",1,10.8920085502,23.03
"Myomys",1,NA,NA
"Myomyscus",1,13.10929984994,NA
"Myonycteris",1,3.37577942352498,NA
"Myoprocta",1,20.60184493585,0.012
"Myopterus",1,17.1804419451,NA
"Myopus",1,6.2457144015,NA
"Myosciurus",1,13.003996985,NA
"Myosorex",1,23.89614331145,7.246
"Myospalax",1,10.3703224587,2.588
"Myotis",2,33.6760351604,33.9
"Myotomys",1,NA,NA
"Myrmecobius",1,23.930750495,NA
"Myrmecophaga",2,16.523000425,4.9
"Mystromys",1,17.119251315,7.246
"Naemorhedus",1,3.65981262619048,NA
"Nandinia",1,39.65999454,NA
"Nanger",1,3.10226374596494,NA
"Nanonycteris",1,1.6526953035,NA
"Napaeozapus",1,6.811144609,2.588
"Nasua",2,10.42296740835,7.9
"Nasuella",1,2.348065046,NA
"Natalus",1,15.5069178726,0.0043
"Navahoceros",1,2.7711246185,2
"Neacomys",1,4.651834679425,0.012
"Neamblysomus",1,2.55179420535001,NA
"Necromys",1,6.98312527710002,6.8
"Nectogale",1,2.683614743,NA
"Nectomys",1,1.81992308750996,2.588
"Nelsonia",1,15.94601020355,NA
"Neochoerus",1,7.3584601565,4.9
"Neodon",1,3.19697841676746,NA
"Neofelis",1,4.80912974647498,0.126
"Neofiber",1,6.0206643795,2.588
"Neomys",1,13.0671182535,4.9
"Neonycteris",1,4.990798789,NA
"Neophoca",1,0.60985280215,2.588
"Neoromicia",2,7.58160953414996,NA
"Neosclerocalyptus",1,5.9759399375,5.332
"Neotetracus",1,11.198748965,NA
"Neothoracophorus",1,NA,15.97
"Neotoma",1,14.9859396315,12.4
"Neotomodon",1,3.9826696365,NA
"Neotomys",1,1.9345498265,0.0276
