"Binomial.1.2","Order.1.2","Family.1.2","current.range.x","present.natural.range.x","current.range.km2","present.natural.range.km2","current.range.y","present.natural.range.y","current.range","present.natural.range"
"Sminthopsis_aitkeni","Dasyuromorphia","Dasyuridae",1,2,9312.36848664304,18624.7369732861,1,2,1,2
"Sminthopsis_archeri","Dasyuromorphia","Dasyuridae",19,19,176935.001246218,176935.001246218,19,19,19,19
"Sminthopsis_bindi","Dasyuromorphia","Dasyuridae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Sminthopsis_butleri","Dasyuromorphia","Dasyuridae",5,5,46561.8424332152,46561.8424332152,5,5,5,5
"Sminthopsis_crassicaudata","Dasyuromorphia","Dasyuridae",515,515,4795869.77062116,4795869.77062116,515,515,515,515
"Sminthopsis_dolichura","Dasyuromorphia","Dasyuridae",92,92,856737.900771159,856737.900771159,92,92,92,92
"Sminthopsis_douglasi","Dasyuromorphia","Dasyuridae",14,14,130373.158813003,130373.158813003,14,14,14,14
"Sminthopsis_fuliginosus","Dasyuromorphia","Dasyuridae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Sminthopsis_gilberti","Dasyuromorphia","Dasyuridae",16,33,148997.895786289,307308.16005922,16,33,16,33
"Sminthopsis_granulipes","Dasyuromorphia","Dasyuridae",30,30,279371.054599291,279371.054599291,30,30,30,30
"Sminthopsis_griseoventer","Dasyuromorphia","Dasyuridae",36,36,335245.265519149,335245.265519149,36,36,36,36
"Sminthopsis_hirtipes","Dasyuromorphia","Dasyuridae",156,156,1452729.48391631,1452729.48391631,156,156,156,156
"Sminthopsis_leucopus","Dasyuromorphia","Dasyuridae",44,44,409744.213412294,409744.213412294,44,44,44,44
"Sminthopsis_longicaudata","Dasyuromorphia","Dasyuridae",110,110,1024360.53353073,1024360.53353073,110,110,110,110
"Sminthopsis_macroura","Dasyuromorphia","Dasyuridae",532,532,4954180.03489409,4954180.03489409,532,532,532,532
"Sminthopsis_murina","Dasyuromorphia","Dasyuridae",189,189,1760037.64397553,1760037.64397553,189,189,189,189
"Sminthopsis_ooldea","Dasyuromorphia","Dasyuridae",152,152,1415480.00996974,1415480.00996974,152,152,152,152
"Sminthopsis_psammophila","Dasyuromorphia","Dasyuridae",10,21,93123.6848664304,195559.738219504,10,21,10,21
"Sminthopsis_virginiae","Dasyuromorphia","Dasyuridae",101,101,940549.217150947,940549.217150947,101,101,101,101
"Sminthopsis_youngsoni","Dasyuromorphia","Dasyuridae",196,196,1825224.22338204,1825224.22338204,196,196,196,196
"Smutsia_gigantea","Pholidota","Manidae",452,493,4209190.55596265,4590997.66391502,452,493,452,493
"Smutsia_temminckii","Pholidota","Manidae",878,878,8176259.53127259,8176259.53127259,878,878,878,878
"Soergelia_minor","Cetartiodactyla","Bovidae",0,1493,0,13903366.1505581,0,1493,0,1493
"Solenodon_cubanus","Eulipotyphla","Solenodontidae",2,30,18624.7369732861,279371.054599291,2,30,2,30
"Solenodon_marcanoi","Eulipotyphla","Solenodontidae",0,20,0,186247.369732861,0,20,0,20
"Solenodon_paradoxus","Eulipotyphla","Solenodontidae",13,20,121060.790326359,186247.369732861,13,20,13,20
"Solisorex_pearsoni","Eulipotyphla","Soricidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Solomys_ponceleti","Rodentia","Muridae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Solomys_salamonis","Rodentia","Muridae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Solomys_salebrosus","Rodentia","Muridae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Solomys_sapientis","Rodentia","Muridae",3,11,27937.1054599291,102436.053353073,3,11,3,11
"Solomys_spriggsarum","Rodentia","Muridae",0,2,0,18624.7369732861,0,2,0,2
"Sommeromys_macrorhinos","Rodentia","Muridae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Sooretamys_angouya","Rodentia","Cricetidae",197,197,1834536.59186868,1834536.59186868,197,197,197,197
"Sorex_alaskanus","Eulipotyphla","Soricidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Sorex_alpinus","Eulipotyphla","Soricidae",104,104,968486.322610876,968486.322610876,104,104,104,104
"Sorex_antinorii","Eulipotyphla","Soricidae",58,58,540117.372225296,540117.372225296,58,58,58,58
"Sorex_araneus","Eulipotyphla","Soricidae",1660,1660,15458531.6878274,15458531.6878274,1660,1660,1660,1660
"Sorex_arcticus","Eulipotyphla","Soricidae",586,586,5457047.93317282,5457047.93317282,586,586,586,586
"Sorex_arizonae","Eulipotyphla","Soricidae",16,16,148997.895786289,148997.895786289,16,16,16,16
"Sorex_arunchi","Eulipotyphla","Soricidae",5,5,46561.8424332152,46561.8424332152,5,5,5,5
"Sorex_asper","Eulipotyphla","Soricidae",57,57,530805.003738653,530805.003738653,57,57,57,57
"Sorex_bairdi","Eulipotyphla","Soricidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Sorex_bedfordiae","Eulipotyphla","Soricidae",94,94,875362.637744445,875362.637744445,94,94,94,94
"Sorex_bendirii","Eulipotyphla","Soricidae",42,42,391119.476439007,391119.476439007,42,42,42,42
"Sorex_buchariensis","Eulipotyphla","Soricidae",12,12,111748.421839716,111748.421839716,12,12,12,12
"Sorex_caecutiens","Eulipotyphla","Soricidae",2173,2173,20235776.7214753,20235776.7214753,2173,2173,2173,2173
"Sorex_camtschatica","Eulipotyphla","Soricidae",97,97,903299.743204374,903299.743204374,97,97,97,97
"Sorex_cansulus","Eulipotyphla","Soricidae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Sorex_cinereus","Eulipotyphla","Soricidae",1515,1515,14108238.2572642,14108238.2572642,1515,1515,1515,1515
"Sorex_coronatus","Eulipotyphla","Soricidae",141,141,1313043.95661667,1313043.95661667,141,141,141,141
"Sorex_cylindricauda","Eulipotyphla","Soricidae",66,66,614616.32011844,614616.32011844,66,66,66,66
"Sorex_daphaenodon","Eulipotyphla","Soricidae",1103,1103,10271542.4407673,10271542.4407673,1103,1103,1103,1103
"Sorex_dispar","Eulipotyphla","Soricidae",79,79,735677.1104448,735677.1104448,79,79,79,79
"Sorex_emarginatus","Eulipotyphla","Soricidae",13,13,121060.790326359,121060.790326359,13,13,13,13
"Sorex_excelsus","Eulipotyphla","Soricidae",42,42,391119.476439007,391119.476439007,42,42,42,42
"Sorex_fumeus","Eulipotyphla","Soricidae",229,229,2132532.38344126,2132532.38344126,229,229,229,229
