"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","indiv.home.range.km2","dispersal.age.d"
"1034","Rodentia","Muridae","Apodemus","peninsulae","Apodemus peninsulae",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,32.9,"1",FALSE,FALSE,FALSE,TRUE,FALSE,2,"","1606","no information",NA,"no information",554.1929125,NA,NA,NA,NA,1.9150146485,NA,NA,NA,NA,NA,NA,NA
"1035","Rodentia","Cricetidae","Andalgalomys","olrogi","Andalgalomys olrogi",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,32.9,"1",FALSE,FALSE,TRUE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,1.988145411,NA,NA,NA,NA,NA,NA,NA
"1036","Rodentia","Cricetidae","Necromys","lactens","Necromys lactens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32.9,"1",FALSE,FALSE,TRUE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",589.3882991,"Necromys lactens",0.0117,0.126,0.06885,2.820310123,NA,NA,NA,NA,NA,NA,NA
"1037","Rodentia","Cricetidae","Akodon","molinae","Akodon molinae",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,33,"1",FALSE,FALSE,TRUE,FALSE,FALSE,3,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,0.569879496,NA,NA,NA,NA,NA,NA,NA
"1038","Rodentia","Cricetidae","Peromyscus","furvus","Peromyscus furvus",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,33,"1",FALSE,TRUE,FALSE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",635.2804944,NA,NA,NA,NA,3.355210462,NA,NA,NA,NA,NA,NA,NA
"1039","Rodentia","Gliridae","Dryomys","niethammeri","Dryomys niethammeri",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,33,"1",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","no information","no information",NA,"no information",879.124225,NA,NA,NA,NA,3.1245697855,NA,NA,NA,NA,NA,NA,NA
"1040","Chiroptera","Phyllostomidae","Desmodus","rotundus","Desmodus rotundus",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,33.2105,"2",FALSE,TRUE,TRUE,FALSE,FALSE,1,"South.America","8887.75","8602.75",285,"2779.7975",2779.7975,"Desmodus rotundus",0.0117,0.126,0.06885,3.3684147685,NA,NA,NA,NA,NA,NA,NA
"1041","Rodentia","Cricetidae","Oryzomys","alfaroi","Oryzomys alfaroi",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,33.3,"2",FALSE,TRUE,TRUE,FALSE,FALSE,3,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042","Chiroptera","Hipposideridae","Hipposideros","turpis","Hipposideros turpis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33.35,"1",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","no information","no information",NA,"no information",1834.2256,NA,NA,NA,NA,2.733484812,NA,NA,NA,NA,NA,NA,NA
"1043","Rodentia","Muridae","Lemniscomys","barbarus","Lemniscomys barbarus",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,33.433,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","1606","no information",NA,"no information",476.46485,NA,NA,NA,NA,0.4256880391,NA,NA,NA,NA,NA,NA,NA
"1044","Dasyuromorphia","Dasyuridae","Sminthopsis","psammophila","Sminthopsis psammophila",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33.5,"1",FALSE,FALSE,FALSE,FALSE,TRUE,1,"Australia","1825","no information",NA,"no information",546.0264667,NA,NA,NA,NA,7.3680939855,NA,NA,NA,NA,NA,NA,NA
"1045","Chiroptera","Hipposideridae","Hipposideros","cyclops","Hipposideros cyclops",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33.5,"1",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",1834.2256,NA,NA,NA,NA,4.582729895,NA,NA,NA,NA,NA,NA,NA
"1046","Rodentia","Gliridae","Dryomys","nitedula","Dryomys nitedula",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,33.6,"1",FALSE,FALSE,FALSE,TRUE,FALSE,2,"Eurasia","1478.25","no information",NA,"no information",879.124225,"Dryomys nitedula",0.126,0.781,0.4535,4.766035034,NA,NA,NA,NA,NA,NA,NA
"1047","Rodentia","Cricetidae","Phodopus","sungorus","Phodopus sungorus",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,33.75,"1",FALSE,FALSE,FALSE,TRUE,FALSE,3,"Eurasia","1295.75","1156.75",139,"474.4575",474.4575,NA,NA,NA,NA,3.6508050755,NA,NA,NA,NA,NA,NA,NA
"1048","Rodentia","Cricetidae","Podoxymys","roraimae","Podoxymys roraimae",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,33.8,"1",FALSE,FALSE,TRUE,FALSE,FALSE,3,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,4.4709051025,NA,NA,NA,NA,NA,NA,NA
"1049","Chiroptera","Rhinolophidae","Rhinolophus","luctus","Rhinolophus luctus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33.9,"1",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","no information","no information",NA,"no information",2726.53565,NA,NA,NA,NA,2.907955401,NA,NA,NA,NA,NA,NA,NA
"1050","Rodentia","Muridae","Pseudomys","nanus","Pseudomys nanus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,34,"1",FALSE,FALSE,FALSE,FALSE,TRUE,2,"","no information","no information",NA,"no information",884.68295,NA,NA,NA,NA,0.5347155147,NA,NA,NA,NA,NA,NA,NA
"1051","Rodentia","Muridae","Pseudomys","occidentalis","Pseudomys occidentalis",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,34,"1",FALSE,FALSE,FALSE,FALSE,TRUE,1,"","no information","no information",NA,"no information",884.68295,NA,NA,NA,NA,1.341974855,NA,NA,NA,NA,NA,NA,NA
"1052","Rodentia","Cricetidae","Oecomys","bicolor","Oecomys bicolor",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,34,"1",FALSE,FALSE,TRUE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,1.747295313,NA,NA,NA,NA,NA,NA,NA
"1053","Rodentia","Cricetidae","Necromys","urichi","Necromys urichi",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,34,"1",FALSE,FALSE,TRUE,FALSE,FALSE,3,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,2.9786800815,NA,NA,NA,NA,NA,NA,NA
"1054","Notoryctemorphia","Notoryctidae","Notoryctes","caurinus","Notoryctes caurinus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34,"1",FALSE,FALSE,FALSE,FALSE,TRUE,1,"Australia","no information","no information",NA,"no information",998.6765636,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA
"1055","Rodentia","Cricetidae","Peromyscus","hylocetes","Peromyscus hylocetes",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,34,"1",FALSE,TRUE,FALSE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",635.2804944,NA,NA,NA,NA,1.027030021,NA,NA,NA,NA,NA,NA,NA
"1056","Chiroptera","Phyllostomidae","Platyrrhinus","aurarius","Platyrrhinus aurarius",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,34.15,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"South.America","no information","no information",NA,"no information",2064.27635,NA,NA,NA,NA,0.4997824908,NA,NA,NA,NA,NA,NA,NA
"1057","Chiroptera","Molossidae","Otomops","martiensseni","Otomops martiensseni",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34.3,"1",TRUE,FALSE,FALSE,FALSE,FALSE,1,"","no information","no information",NA,"no information",1427.913317,NA,NA,NA,NA,8.5282003925,NA,NA,NA,NA,NA,NA,NA
"1058","Rodentia","Cricetidae","Abrothrix","jelskii","Abrothrix jelskii",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,34.5,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,2.3272096795,NA,NA,NA,NA,NA,NA,NA
"1059","Chiroptera","Vespertilionidae","Scotophilus","heathii","Scotophilus heathii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34.56,"1",FALSE,FALSE,FALSE,TRUE,FALSE,1,"North.America","no information","no information",NA,"no information",2051.666208,NA,NA,NA,NA,6.035190553,NA,NA,NA,NA,NA,NA,NA
"1060","Rodentia","Muridae","Mus","shortridgei","Mus shortridgei",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,34.6,"1",FALSE,FALSE,FALSE,TRUE,FALSE,2,"","no information","no information",NA,"no information",628.295,NA,NA,NA,NA,1.7834199995,NA,NA,NA,NA,NA,NA,NA
"1061","Rodentia","Cricetidae","Akodon","siberiae","Akodon siberiae",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,34.6,"1",FALSE,FALSE,TRUE,FALSE,FALSE,3,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,1.26501985,NA,NA,NA,NA,NA,NA,NA
"1062","Chiroptera","Phyllostomidae","Vampyrodes","caraccioli","Vampyrodes caraccioli",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,34.7,"2",FALSE,TRUE,TRUE,FALSE,FALSE,1,"South.America","no information","no information",NA,"no information",2064.27635,NA,NA,NA,NA,0.9084369416,NA,NA,NA,NA,NA,NA,NA
